state,x,y
Andhara Pradesh,-120.0,-206.0
Arunachal Pradesh,273.0,171.0
Assam,204.0,106.0
Bihar,63.0,84.0
Chattisgarh,-29.0,-26.0
Goa,-240.0,-198.0
Gujarat,-277.0,20.0
Haryana,-158.0,170.0
Himachal Pradesh,-145.0,242.0
Jharkhand,44.0,29.0
Karnataka,-193.0,-208.0
Kerala,-213.0,-313.0
Ladakh,-135.0,303.0
Madhya Pradesh,-151.0,9.0
Maharashtra,-211.0,-101.0
Manipur,295.0,60.0
Meghalaya,182.0,78.0
Mizoram,278.0,19.0
Nagaland,304.0,100.0
Odisha,26.0,-49.0
Punjab,-172.0,198.0
Rajasthan,-254.0,104.0
Sikkim,124.0,156.0
Tamil Nadu,-128.0,-303.0
Telangana,-110.0,-134.0
Tripura,177.0,30.0
Uttarakhand,-96.0,192.0
Uttar Pradesh,-70.0,110.0
West Bengal,102.0,14.0